Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
CascadedShadows_Desc,Setting Description,カスケードシャドウマップを有効にし、影の品質を向上させます。,Enables Cascaded Shadow Maps to improve shadow quality.,启用级联阴影贴图以提高阴影质量。,啟用級聯陰影貼圖以提高陰影品質。,계단식 그림자 매핑을 활성화하여 그림자 품질을 향상시킵니다.,Habilita mapas de sombras en cascada para mejorar la calidad de las sombras.,يمكّن خرائط الظل المتتالية لتحسين جودة الظل.,Mengaktifkan Peta Bayangan Bertingkat untuk meningkatkan kualitas bayangan.,
Group_PBR,Group Title,PBR設定,PBR Settings,PBR设置,PBR設定,PBR 설정,Configuración PBR,إعدادات PBR,Pengaturan PBR,
Metallic,Setting Label,メタリック,Metallic,金属度,金屬度,메탈릭,Metálico,معدني,Metallic,
Metallic_Desc,Setting Description,表面の金属っぽさを設定します。,Sets the metallic property of the surface.,设置表面的金属度。,設定表面的金屬度。,표면의 금속성을 설정합니다.,Establece la propiedad metálica de la superficie.,يحدد الخاصية المعدنية للسطح.,Mengatur sifat logam dari permukaan.,
Roughness,Setting Label,ラフネス,Roughness,粗糙度,粗糙度,거칠기,Rugosidad,خشونة,Kekasaran,
Roughness_Desc,Setting Description,表面の粗さを設定します。反射のぼけ具合に影響します。,Sets the roughness of the surface. Affects reflection blur.,设置表面的粗糙度。影响反射模糊。,設定表面的粗糙度。影響反射模糊。,표면의 거칠기를 설정합니다. 반사 흐림에 영향을 줍니다.,Establece la rugosidad de la superficie. Afecta el desenfoque de la reflexión.,يحدد خشونة السطح. يؤثر على ضبابية الانعكاس.,Mengatur kekasaran permukaan. Mempengaruhi blur refleksi.,
IBLIntensity,Setting Label,環境光強度 (IBL),IBL Intensity,环境光强度 (IBL),環境光強度 (IBL),IBL 강도,Intensidad IBL,كثافة IBL,Intensitas IBL,
IBLIntensity_Desc,Setting Description,環境マップによるライティングの強さを設定します。,Sets the intensity of Image Based Lighting.,设置基于图像的照明强度。,設定基於圖像的照明強度。,이미지 기반 조명의 강도를 설정합니다.,Establece la intensidad de la iluminación basada en imágenes.,يحدد كثافة الإضاءة القائمة على الصورة.,Mengatur intensitas Pencahayaan Berbasis Gambar.,
Group_SSR,Group Title,SSR (画面空間反射),SSR,SSR,SSR,SSR,SSR,SSR,SSR,
SSREnabled,Setting Label,SSR有効,Enable SSR,启用SSR,啟用SSR,SSR 활성화,Habilitar SSR,تمكين SSR,Aktifkan SSR,
SSREnabled_Desc,Setting Description,画面空間反射を有効にします。,Enables Screen Space Reflections.,启用屏幕空间反射。,啟用螢幕空間反射。,화면 공간 반사를 활성화합니다.,Habilita las reflexiones del espacio de pantalla.,يمكّن انعكاسات مساحة الشاشة.,Mengaktifkan Refleksi Ruang Layar.,
SSRStep,Setting Label,ステップサイズ,Step Size,步长,步長,단계 크기,Tamaño del paso,حجم الخطوة,Ukuran Langkah,
SSRStep_Desc,Setting Description,反射計算の精度を設定します。,Sets the precision of reflection calculation.,设置反射计算的精度。,設定反射計算的精度。,반사 계산의 정밀도를 설정합니다.,Establece la precisión del cálculo de reflexión.,يحدد دقة حساب الانعكاس.,Mengatur presisi perhitungan refleksi.,
SSRMaxDist,Setting Label,最大距離,Max Distance,最大距离,最大距離,최대 거리,Distancia máxima,أقصى مسافة,Jarak Maksimum,
SSRMaxDist_Desc,Setting Description,反射計算を行う最大距離を設定します。,Sets the maximum distance for reflection calculation.,设置反射计算的最大距离。,設定反射計算的最大距離。,반사 계산의 최대 거리를 설정합니다.,Establece la distancia máxima para el cálculo de la reflexión.,يحدد الحد الأقصى للمسافة لحساب الانعكاس.,Mengatur jarak maksimum untuk perhitungan refleksi.,
Group_PCSS,Group Title,PCSS (ソフトシャドウ),PCSS,PCSS,PCSS,PCSS,PCSS,PCSS,PCSS,
PcssLightSize,Setting Label,光源サイズ,Light Size,光源大小,光源大小,광원 크기,Tamaño de luz,حجم الضوء,Ukuran Cahaya,
PcssLightSize_Desc,Setting Description,光源の大きさを設定します。影のぼけ具合に影響します。,Sets the size of the light source. Affects shadow softness.,设置光源的大小。影响阴影柔和度。,設定光源的大小。影響陰影柔和度。,광원의 크기를 설정합니다. 그림자 부드러움에 영향을 줍니다.,Establece el tamaño de la fuente de luz. Afecta la suavidad de la sombra.,يحدد حجم مصدر الضوء. يؤثر على نعومة الظل.,Mengatur ukuran sumber cahaya. Mempengaruhi kelembutan bayangan.,
PcssQuality,Setting Label,シャドウ品質,Shadow Quality,阴影质量,陰影品質,그림자 품질,Calidad de sombra,جودة الظل,Kualitas Bayangan,
PcssQuality_Desc,Setting Description,ソフトシャドウのサンプル数を設定します。,Sets the number of samples for soft shadows.,设置软阴影的采样数。,設定軟陰影的採樣數。,소프트 섀도우의 샘플 수를 설정합니다.,Establece el número de muestras para sombras suaves.,يحدد عدد العينات للظلال الناعمة.,Mengatur jumlah sampel untuk bayangan lembut.,
ScanlinePost,Setting Label,トーンマップ後適用,Apply After Tonemap,色调映射后应用,色調映射後應用,톤매핑 후 적용,Aplicar después de tonemap,تطبيق بعد تخطيط النغمة,Terapkan Setelah Tonemap,
ScanlinePost_Desc,Setting Description,走査線をトーンマッピングの後に適用します。,Applies scanlines after tone mapping.,在色调映射之后应用扫描线。,在色調映射之後應用掃描線。,톤매핑 후에 스캔라인을 적용합니다.,Aplica líneas de escaneo después del mapeo de tonos.,يطبق خطوط المسح بعد تخطيط النغمة.,Menerapkan scanlines setelah tone mapping.,
SplitWindow_MaterialSettings,Material settings for each part,質感設定,Material Settings,材质设置,材質設定,재질 설정,Configuración de material,إعدادات المواد,Pengaturan Material,
SplitWindow_MaterialPreset,Material preset file name,マテリアルプリセット,Material Preset,材质预设,材質預設,재질 프리셋,Preajuste de material,إعداد المواد المسبق,Preset Material,
ShaderParser_UnterminatedString,Error when string literal is not closed,文字列リテラルが閉じられていません,Unterminated string literal,字符串字面量未终止,字串常值未終止,문자열 리터럴이 닫히지 않았습니다,Literal de cadena sin terminar,سلسلة نصية غير منتهية,String literal tidak ditutup,
ShaderParser_ExpectedTextFound,Expected specific text but found different text,'{0}'が必要ですが'{1}'が見つかりました,Expected '{0}' but found '{1}',需要'{0}'但找到'{1}',需要'{0}'但找到'{1}','{0}'이(가) 필요하지만 '{1}'을(를) 찾았습니다,Se esperaba '{0}' pero se encontró '{1}',متوقع '{0}' لكن وجد '{1}',Diharapkan '{0}' tetapi ditemukan '{1}',
ShaderParser_ExpectedTypeFound,Expected token type but found different type,{0}が必要ですが{1}が見つかりました,Expected {0} but found {1},需要{0}但找到{1},需要{0}但找到{1},{0}이(가) 필요하지만 {1}을(를) 찾았습니다,Se esperaba {0} pero se encontró {1},متوقع {0} لكن وجد {1},Diharapkan {0} tetapi ditemukan {1},
ShaderParser_ExpectedTypeButFoundText,Expected type token but found specific text,型が必要ですが'{0}'が見つかりました,Expected type but found '{0}',需要类型但找到'{0}',需要類型但找到'{0}',타입이 필요하지만 '{0}'을(를) 찾았습니다,Se esperaba un tipo pero se encontró '{0}',متوقع نوع لكن وجد '{0}',Diharapkan tipe tetapi ditemukan '{0}',
ShaderConversion_ParsingFailed,Shader parsing operation failed,シェーダーの解析に失敗しました: {0} (行: {1}、列: {2}),Shader parsing failed: {0} at line {1} column {2},着色器解析失败: {0} 在第{1}行第{2}列,著色器解析失敗: {0} 在第{1}行第{2}列,셰이더 파싱 실패: {0} (줄: {1}、열: {2}),Error al analizar el shader: {0} en línea {1} columna {2},فشل تحليل التظليل: {0} في السطر {1} العمود {2},Parsing shader gagal: {0} di baris {1} kolom {2},
ShaderConversion_ConversionFailed,Shader conversion operation failed,シェーダーの変換に失敗しました: {0},Shader conversion failed: {0},着色器转换失败: {0},著色器轉換失敗: {0},셰이더 변환 실패: {0},Error al convertir el shader: {0},فشل تحويل التظليل: {0},Konversi shader gagal: {0},
ShaderConversion_ArgumentNull,Argument cannot be null,引数がnullです,Argument cannot be null,参数不能为空,參數不能為空,인수가 null일 수 없습니다,El argumento no puede ser nulo,الوسيطة لا يمكن أن تكون فارغة,Argumen tidak boleh null,
ShaderConversion_SourceCodeEmpty,Source code cannot be empty,ソースコードが空です,Source code cannot be empty,源代码不能为空,原始碼不能為空,소스 코드가 비어 있을 수 없습니다,El código fuente no puede estar vacío,الكود المصدري لا يمكن أن يكون فارغًا,Kode sumber tidak boleh kosong,
ShaderError_Category_Syntax,Syntax error category,構文エラー,Syntax Error,语法错误,語法錯誤,구문 오류,Error de sintaxis,خطأ في بناء الجملة,Kesalahan Sintaks,
ShaderError_Category_Compilation,Compilation error category,コンパイルエラー,Compilation Error,编译错误,編譯錯誤,컴파일 오류,Error de compilación,خطأ في الترجمة,Kesalahan Kompilasi,
ShaderError_Category_Conversion,Conversion error category,変換エラー,Conversion Error,转换错误,轉換錯誤,변환 오류,Error de conversión,خطأ في التحويل,Kesalahan Konversi,
ShaderError_Category_General,General error category,一般エラー,General Error,常规错误,一般錯誤,일반 오류,Error general,خطأ عام,Kesalahan Umum,
ShaderError_Location,Error location label,エラー位置,Location,位置,位置,위치,Ubicación,الموقع,Lokasi,
ShaderError_Line,Line number label,行,Line,行,行,줄,Línea,السطر,Baris,
ShaderError_Column,Column number label,列,Column,列,列,열,Columna,العمود,Kolom,
ShaderError_Message,Error message label,エラーメッセージ,Error Message,错误消息,錯誤訊息,오류 메시지,Mensaje de error,رسالة الخطأ,Pesan Kesalahan,
ShaderError_CodeContext,Code context label,コードコンテキスト,Code Context,代码上下文,程式碼內容,코드 컨텍스트,Contexto del código,سياق الكود,Konteks Kode,
ShaderError_File,File name label,ファイル,File,文件,檔案,파일,Archivo,الملف,File,
ShaderError_ValidationTime,Validation time label,検証時刻,Validation Time,验证时间,驗證時間,검증 시간,Tiempo de validación,وقت التحقق,Waktu Validasi,
ShaderError_DialogTitle,Error details dialog title,シェーダーエラー詳細,Shader Error Details,着色器错误详情,著色器錯誤詳情,셰이더 오류 세부정보,Detalles del error del shader,تفاصيل خطأ التظليل,Detail Kesalahan Shader,
SSRMaxDist,SSR maximum trace distance,SSR最大トレース距離,SSR Max Distance,SSR最大追踪距离,SSR最大追蹤距離,SSR 최대 추적 거리,Distancia máxima SSR,مسافة SSR القصوى,Jarak maks SSR,
SSRMaxDist_Desc,Maximum distance for ray tracing in world units,ワールド単位での最大レイトレーシング距離,Maximum ray tracing distance in world space,世界单位中的最大光线追踪距离,世界單位中的最大光線追蹤距離,월드 공간에서의 최대 레이 트레이싱 거리,Distancia máxima de trazado de rayos en el espacio del mundo,مسافة تتبع الأشعة القصوى في الفضاء العالمي,Jarak ray tracing maksimum di ruang dunia,
SSRMaxSteps,Maximum ray marching steps for SSR,SSR最大ステップ数,SSR Max Steps,SSR最大步数,SSR最大步數,SSR 최대 단계,Pasos máximos SSR,خطوات SSR القصوى,Langkah Maks SSR,
SSRMaxSteps_Desc,Number of ray marching iterations (higher = better quality but slower),レイマーチングの反復回数（高いほど高品質だが低速）,Number of ray marching iterations for screen-space reflections,光线行进迭代次数（越高质量越好但越慢）,光線行進迭代次數（越高品質越好但越慢）,레이 마칭 반복 횟수 (높을수록 품질 향상하지만 느림),Número de iteraciones de ray marching (mayor = mejor calidad pero más lento),عدد تكرارات تتبع الأشعة (أعلى = جودة أفضل لكن أبطأ),Jumlah iterasi ray marching (lebih tinggi = kualitas lebih baik tapi lebih lambat),
SSRDepthThreshold,SSR depth threshold tolerance,SSR深度許容範囲,SSR Depth Threshold,SSR深度阈值,SSR深度閾值,SSR 깊이 임계값,Umbral de profundidad SSR,عتبة عمق SSR,Ambang kedalaman SSR,
SSRDepthThreshold_Desc,Depth buffer tolerance for ray hit detection,ヒット検出のための深度バッファ許容値,Depth buffer tolerance for ray hit detection,光线命中检测的深度缓冲容差,光線命中檢測的深度緩衝容差,레이 적중 감지를 위한 깊이 버퍼 허용 오차,Tolerancia del búfer de profundidad para la detección de impactos,تفاوت المخزن المؤقت للعمق لاكتشاف الضربة,Toleransi buffer kedalaman untuk deteksi hit,
Material_Group_Standard,Group Name,標準,Standard,标准,標準,표준,Estándar,قياسي,Standar,
Material_Roughness,Setting Label,粗さ,Roughness,粗糙度,粗糙度,거칠기,Rugosidad,خشونة,Kekasaran,
Material_Metallic,Setting Label,メタリック,Metallic,金属度,金屬度,메탈릭,Metálico,معدني,Metallic,
Material_BaseColor,Setting Label,基本色,Base Color,基本色,基本色,기본 색상,Color base,اللون الأساسي,Warna Dasar,
Tip_SavePreset,Tooltip,プリセットを保存,Save Preset,保存预设,保存預設,프리셋 저장,Guardar preajuste,حفظ الإعداد المسبق,Simpan Preset,
Tip_LoadPreset,Tooltip,プリセットを読み込む,Load Preset,加载预设,載入預設,프리셋 불러오기,Cargar preajuste,تحميل الإعداد المسبق,Muat Preset,
Tip_ResetMaterial,Tooltip,マテリアルをリセット,Reset Material,重置材质,重置材質,재질 초기화,Restablecer material,إعادة تعيين المواد,Reset Material,
Tip_ResetGroup,Tooltip,グループをリセット,Reset Group,重置组,重置群組,그룹 초기화,Restablecer grupo,إعادة تعيين المجموعة,Reset Grup,
Settings_3DModel,Setting Label,3Dモデル,3D Model,3D模型,3D模型,3D 모델,Modelo 3D,نموذج ثلاثي الأبعاد,Model 3D,
SandboxSettings,Group Title,サンドボックス設定,Sandbox Settings,沙盒设置,沙盒設定,샌드박스 설정,Configuración de Sandbox,إعدادات صندوق الرمل,Pengaturan Kotak Pasir,
EnableSandbox,Setting Label,サンドボックスを有効にする,Enable Sandbox,启用沙盒,啟用沙盒,샌드박스 활성화,Habilitar Sandbox,تمكين صندوق الرمل,Aktifkan Sandbox,
AllowedDirectories,Setting Label,許可されたディレクトリ,Allowed Directories,允许的目录,允許的目錄,허용된 디렉토리,Directorios permitidos,الدلائل المسموح بها,Direktori yang Diizinkan,
AddDirectory,Button Label,追加,Add,添加,新增,추가,Añadir,إضافة,Tambah,
RemoveDirectory,Button Label,削除,Remove,删除,刪除,삭제,Eliminar,إزالة,Hapus,
ClearDirectories,Button Label,クリア,Clear,清除,清除,지우기,Limpiar,مسح,Bersihkan,
ResourceManagement,Group Title,リソース管理,Resource Management,资源管理,資源管理,리소스 관리,Gestión de recursos,إدارة الموارد,Manajemen Sumber Daya,
AuditInterval,Setting Label,監査間隔 (分),Audit Interval (min),审计间隔 (分钟),審計間隔 (分鐘),감사 간격 (분),Intervalo de auditoría (min),فاصل التدقيق (دقيقة),Interval Audit (mnt),
LeakThreshold,Setting Label,リーク判定閾値 (分),Leak Threshold (min),泄漏阈值 (分钟),洩漏閾值 (分鐘),누출 임계값 (분),Umbral de fuga (min),عتبة التسرب (دقيقة),Ambang Kebocoran (mnt),
EnableAutoAudit,Setting Label,自動監査を有効にする,Enable Auto Audit,启用自动审计,啟用自動審計,자동 감사 활성화,Habilitar auditoría automática,تمكين التدقيق التلقائي,Aktifkan Audit Otomatis,
RunAudit,Button Label,今すぐ監査を実行,Run Audit Now,立即运行审计,立即執行審計,지금 감사 실행,Ejecutar auditoría ahora,تشغيل التدقيق الآن,Jalankan Audit Sekarang,
AuditResults,Group Title,監査結果,Audit Results,审计结果,審計結果,감사 결과,Resultados de la auditoría,نتائج التدقيق,Hasil Audit,
ActiveResources,Label,アクティブなリソース:,Active Resources:,活动资源:,活動資源:,활성 리소스:,Recursos activos:,الموارد النشطة:,Sumber Daya Aktif:,
OrphanedResources,Label,孤立したリソース:,Orphaned Resources:,孤立资源:,孤立資源:,고립된 리소스:,Recursos huérfanos:,الموارد اليتيمة:,Sumber Daya Yatim:,
TotalAllocations,Label,総割り当て数:,Total Allocations:,总分配数:,總分配數:,총 할당 수:,Asignaciones totales:,إجمالي المخصصات:,Total Alokasi:,
TotalDisposals,Label,総破棄数:,Total Disposals:,总释放数:,總釋放數:,총 폐기 수:,Disposiciones totales:,إجمالي التخلص:,Total Pembuangan:,
EstimatedActiveBytes,Label,推定アクティブサイズ (B):,Estimated Active Size (B):,估计活动大小 (B):,估計活動大小 (B):,예상 활성 크기 (B):,Tamaño activo estimado (B):,الحجم النشط المقدر (B):,Perkiraan Ukuran Aktif (B):,
LeakedResourcesList,Label,リークの可能性があるリソース,Potentially Leaked Resources,可能泄漏的资源,可能洩漏的資源,누출 가능성이 있는 리소스,Recursos potencialmente filtrados,الموارد المحتمل تسربها,Sumber Daya Berpotensi Bocor,
OrphanedResourcesList,Label,孤立したリソース一覧,Orphaned Resources List,孤立资源列表,孤立資源列表,고립된 리소스 목록,Lista de recursos huérfanos,قائمة الموارد اليتيمة,Daftar Sumber Daya Yatim,
KeyHeader,Header,キー,Key,键,鍵,키,Clave,مفتاح,Kunci,
TypeHeader,Header,タイプ,Type,类型,類型,유형,Tipo,نوع,Tipe,
AgeHeader,Header,経過時間,Age,时长,時長,경과 시간,Edad,عمر,Usia,
SizeHeader,Header,サイズ,Size,大小,大小,크기,Tamaño,حجم,Ukuran,
StackTraceHeader,Header,スタックトレース,Stack Trace,堆栈跟踪,堆疊追蹤,스택 트레이스,Seguimiento de pila,تتبع المكدس,Stack Trace,
CreatedAtHeader,Header,作成日時,Created At,创建时间,建立時間,생성 일시,Creado en,أنشئ في,Dibuat Pada,
ResourceLimits,Settings section header for size limits,リソース制限,Resource Limits,资源限制,資源限制,리소스 제한,Límites de recursos,حدود الموارد,Batas Sumber Daya,
ResourceLimitTitle,MessageBox title for limit warnings,リソース制限,Resource Limit,资源限制,資源限制,리소스 제한,Límite de recursos,حد الموارد,Batas Sumber Daya,
ComplexityLimits,Settings section header for complexity,モデル複雑度制限,Model Complexity Limits,模型复杂度限制,模型複雜度限制,모델 복잡도 제한,Límites de complejidad,حدود التعقيد,Batas Kompleksitas Model,
MaxFileSizeMB,Max file size label,最大ファイルサイズ,Max File Size,最大文件大小,最大檔案大小,최대 파일 크기,Tamaño máximo de archivo,الحد الأقصى لحجم الملف,Ukuran File Maksimum,
MaxGpuMemoryPerModelMB,Max GPU memory per model label,モデルあたりの最大GPUメモリ,Max GPU Memory per Model,每个模型最大GPU内存,每個模型最大GPU記憶體,모델당 최대 GPU 메모리,Memoria GPU máx. por modelo,الحد الأقصى لذاكرة GPU لكل نموذج,Memori GPU Maks. per Model,
MaxTotalGpuMemoryMB,Max total GPU memory label,最大合計GPUメモリ,Max Total GPU Memory,最大总GPU内存,最大總GPU記憶體,최대 총 GPU 메모리,Memoria GPU total máxima,إجمالي ذاكرة GPU القصوى,Total Memori GPU Maksimum,
MaxVertices,Max vertex count label,最大頂点数,Max Vertices,最大顶点数,最大頂點數,최대 정점 수,Máx. vértices,الحد الأقصى للرؤوس,Maks. Vertex,
MaxIndices,Max index count label,最大インデックス数,Max Indices,最大索引数,最大索引數,최대 인덱스 수,Máx. índices,الحد الأقصى للفهارس,Maks. Indeks,
MaxParts,Max part count label,最大パート数,Max Parts,最大部件数,最大部件數,최대 파트 수,Máx. partes,الحد الأقصى للأجزاء,Maks. Bagian,
FileSizeExceeded,Error: file too large. {0}=filename {1}=actualMB {2}=limitMB,"{0} のファイルサイズ ({1} MB) が制限 ({2} MB) を超えています。モデル設定で制限値を変更できます。","{0} file size ({1} MB) exceeds the limit ({2} MB). You can change the limit in Model Settings.","文件 {0} 的大小 ({1} MB) 超过了限制 ({2} MB)。您可以在模型设置中更改限制。","檔案 {0} 的大小 ({1} MB) 超過了限制 ({2} MB)。您可以在模型設定中變更限制。","파일 {0}의 크기 ({1} MB)가 제한 ({2} MB)을 초과합니다. 모델 설정에서 제한을 변경할 수 있습니다.","El archivo {0} ({1} MB) supera el límite ({2} MB). Puede cambiar el límite en Configuración del modelo.","حجم الملف {0} ‏({1} ميجابايت) يتجاوز الحد ({2} ميجابايت). يمكنك تغيير الحد في إعدادات النموذج.","Ukuran file {0} ({1} MB) melebihi batas ({2} MB). Anda dapat mengubah batas di Pengaturan Model.",
GpuMemoryExceeded,Error: GPU memory exceeded. {0}=filename {1}=actualMB {2}=limitMB,"{0} のGPUメモリ使用量 ({1} MB) が制限 ({2} MB) を超えています。モデル設定で制限値を変更できます。","{0} GPU memory usage ({1} MB) exceeds the limit ({2} MB). You can change the limit in Model Settings.","文件 {0} 的GPU内存使用 ({1} MB) 超过了限制 ({2} MB)。您可以在模型设置中更改限制。","檔案 {0} 的GPU記憶體使用 ({1} MB) 超過了限制 ({2} MB)。您可以在模型設定中變更限制。","파일 {0}의 GPU 메모리 사용량 ({1} MB)이 제한 ({2} MB)을 초과합니다. 모델 설정에서 제한을 변경할 수 있습니다.","El uso de memoria GPU de {0} ({1} MB) supera el límite ({2} MB). Puede cambiar el límite en Configuración del modelo.","استخدام ذاكرة GPU للملف {0} ‏({1} ميجابايت) يتجاوز الحد ({2} ميجابايت). يمكنك تغيير الحد في إعدادات النموذج.","Penggunaan memori GPU {0} ({1} MB) melebihi batas ({2} MB). Anda dapat mengubah batas di Pengaturan Model.",
VertexCountExceeded,Error: too many vertices. {0}=filename {1}=actual {2}=limit,"{0} の頂点数 ({1}) が制限 ({2}) を超えています。モデル設定で制限値を変更できます。","{0} vertex count ({1}) exceeds the limit ({2}). You can change the limit in Model Settings.","文件 {0} 的顶点数 ({1}) 超过了限制 ({2})。您可以在模型设置中更改限制。","檔案 {0} 的頂點數 ({1}) 超過了限制 ({2})。您可以在模型設定中變更限制。","파일 {0}의 정점 수 ({1})가 제한 ({2})을 초과합니다. 모델 설정에서 제한을 변경할 수 있습니다.","El archivo {0} tiene {1} vértices, superando el límite de {2}. Puede cambiar el límite en Configuración del modelo.","عدد رؤوس الملف {0} ‏({1}) يتجاوز الحد ({2}). يمكنك تغيير الحد في إعدادات النموذج.","Jumlah vertex file {0} ({1}) melebihi batas ({2}). Anda dapat mengubah batas di Pengaturan Model.",
IndexCountExceeded,Error: too many indices. {0}=filename {1}=actual {2}=limit,"{0} のインデックス数 ({1}) が制限 ({2}) を超えています。モデル設定で制限値を変更できます。","{0} index count ({1}) exceeds the limit ({2}). You can change the limit in Model Settings.","文件 {0} 的索引数 ({1}) 超过了限制 ({2})。您可以在模型设置中更改限制。","檔案 {0} 的索引數 ({1}) 超過了限制 ({2})。您可以在模型設定中變更限制。","파일 {0}의 인덱스 수 ({1})가 제한 ({2})을 초과합니다. 모델 설정에서 제한을 변경할 수 있습니다.","El archivo {0} tiene {1} índices, superando el límite de {2}. Puede cambiar el límite en Configuración del modelo.","عدد فهارس الملف {0} ‏({1}) يتجاوز الحد ({2}). يمكنك تغيير الحد في إعدادات النموذج.","Jumlah indeks file {0} ({1}) melebihi batas ({2}). Anda dapat mengubah batas di Pengaturan Model.",
PartCountExceeded,Error: too many parts. {0}=filename {1}=actual {2}=limit,"{0} のパート数 ({1}) が制限 ({2}) を超えています。モデル設定で制限値を変更できます。","{0} part count ({1}) exceeds the limit ({2}). You can change the limit in Model Settings.","文件 {0} 的部件数 ({1}) 超过了限制 ({2})。您可以在模型设置中更改限制。","檔案 {0} 的部件數 ({1}) 超過了限制 ({2})。您可以在模型設定中變更限制。","파일 {0}의 파트 수 ({1})가 제한 ({2})을 초과합니다. 모델 설정에서 제한을 변경할 수 있습니다.","El archivo {0} tiene {1} partes, superando el límite de {2}. Puede cambiar el límite en Configuración del modelo.","عدد أجزاء الملف {0} ‏({1}) يتجاوز الحد ({2}). يمكنك تغيير الحد في إعدادات النموذج.","Jumlah bagian file {0} ({1}) melebihi batas ({2}). Anda dapat mengubah batas di Pengaturan Model.",
SandboxBlocked,Error: sandbox blocked file access. {0}=filepath,"{0} へのアクセスがサンドボックスによりブロックされました。モデル設定で許可ディレクトリを追加してください。","Access to {0} was blocked by sandbox. Please add an allowed directory in Model Settings.","沙箱阻止了对 {0} 的访问。请在模型设置中添加允许的目录。","沙箱阻止了對 {0} 的存取。請在模型設定中新增允許的目錄。","샌드박스에 의해 {0}에 대한 접근이 차단되었습니다. 모델 설정에서 허용 디렉토리를 추가하세요.","El sandbox bloqueó el acceso a {0}. Agregue un directorio permitido en Configuración del modelo.","تم حظر الوصول إلى {0} بواسطة وضع الحماية. يرجى إضافة دليل مسموح به في إعدادات النموذج.","Akses ke {0} diblokir oleh sandbox. Silakan tambahkan direktori yang diizinkan di Pengaturan Model.",
ResetValue,Reset value,値をリセット,Reset value,重置值,重設值,값 초기화,Restablecer valor,إعادة تعيين القيمة,Atur ulang nilai,
ResetResourceLimits,Reset resource limits,リソース制限をリセット,Reset resource limits,重置资源限制,重設資源限制,리소스 제한 초기화,Restablecer límites de recursos,إعادة تعيين حدود الموارد,Atur ulang batas sumber daya,
ResetComplexityLimits,Reset complexity limits,複雑度制限をリセット,Reset complexity limits,重置复杂性限制,重設複雜性限制,복잡성 제한 초기화,Restablecer límites de complejidad,إعادة تعيين حدود التعقيد,Atur ulang batas kompleksitas,
ResetAuditSettings,Reset audit settings,監査設定をリセット,Reset audit settings,重置审核设置,重設審核設定,감사 설정 초기화,Restablecer configuración de auditoría,إعادة تعيين إعدادات التدقيق,Atur ulang pengaturan audit,
Title_LoadError,Title for texture loading error dialogs,テクスチャ読み込みエラー,Texture Load Error,纹理加载错误,紋理載入錯誤,텍스처 로드 오류,Error de Carga de Textura,خطأ في تحميل الملمس,Kesalahan Memuat Tekstur,
Error_DdsInvalidMagic,DDS magic number is incorrect,DDSファイルが無効です (Magic Number 不正),Invalid DDS file (Incorrect Magic Number),DDS文件无效（幻数错误）,無效的DDS檔案（Magic Number 不正確）,유효하지 않은 DDS 파일 (매직 넘버 오류),Archivo DDS inválido (Número mágico incorrecto),ملف DDS غير صالح (رقم سحري غير صحيح),File DDS tidak valid (Nomor Magic salah),
Error_DdsInvalidHeaderSize,DDS header size is incorrect,DDSヘッダーサイズが不正です,Invalid DDS header size,DDS标头大小不正确,DDS標頭大小不正確,DDS 헤더 크기가 잘못되었습니다,Tamaño de encabezado DDS incorrecto,حجم رأس DDS غير صحيح,Ukuran header DDS salah,
Error_DdsCompressedNotSupported,Specific compressed DDS format is not supported,圧縮DDS形式はCPUデコードでサポートされていません: {0},Compressed DDS format not supported for CPU decoding: {0},不支持CPU解码的压缩DDS格式：{0},不支援CPU解碼的壓縮DDS格式：{0},CPU 디코딩에 지원되지 않는 압축 DDS 형식: {0},Formato DDS comprimido no compatible para decodificación CPU: {0},تنسيق DDS المضغوط غير مدعوم لفك تشفير وحدة المعالجة المركزية: {0},Format DDS terkompresi tidak didukung untuk decoding CPU: {0},
Error_DdsFormatNotSupported,Generic DDS format unsupported,このDDS形式はサポートされていません (RGB/RGBAのみ),Unsupported DDS format (Only RGB/RGBA),不支持的DDS格式（仅RGB/RGBA）,不支援的DDS格式（僅RGB/RGBA）,지원되지 않는 DDS 형식 (RGB/RGBA 만 해당),Formato DDS no compatible (Solo RGB/RGBA),تنسيق DDS غير مدعوم (RGB/RGBA فقط),Format DDS tidak didukung (Hanya RGB/RGBA),
Error_DdsBitDepthNotSupported,DDS bit depth is not 24 or 32,DDSビット深度がサポートされていません (24/32bitのみ),Unsupported DDS bit depth (Only 24/32-bit),不支持的DDS位深度（仅24/32位）,不支援的DDS位元深度（僅24/32位元）,지원되지 않는 DDS 비트 심도 (24/32 비트 만 해당),Profundidad de bits DDS no compatible (Solo 24/32-bit),عمق بت DDS غير مدعوم (فقط 24/32 بت),Kedalaman bit DDS tidak didukung (Hanya 24/32-bit),
Error_DdsDataReadFailed,Generic failure reading DDS pixel data,DDSピクセルデータの読み込みに失敗しました,Failed to read DDS pixel data,读取DDS像素数据失败,讀取DDS像素數據失敗,DDS 픽셀 데이터를 읽지 못했습니다,Error al leer datos de píxeles DDS,فشل في قراءة بيانات بكسل DDS,Gagal membaca data piksel DDS,
